QID,page id,item,wiki db,category
Q278567,13190716,Coronavirus lié au syndrome respiratoire aigu sévère,frwiki,Others
Q88058672,13234448,Covid-19 pendant la grossesse,frwiki,Others
Q88599208,13273748,Crise économique liée à la pandémie de Covid-19,frwiki,Others
Q3002872,5526317,Cristina (chanteuse),frwiki,Human
Q3008822,1093656,Cynthia Viteri,frwiki,Human
Q536308,862881,D. L. Hughley,frwiki,Human
Q97616,7555970,Dan van Husen,frwiki,Human
Q2779131,583619,Danie Gerber,frwiki,Human
Q10263911,13215926,Daniel Azulay,frwiki,Human
Q3013834,1959361,Daniel Cauchy,frwiki,Human
Q299700,355041,Daniel Dae Kim,frwiki,Human
Q11774225,12108276,Daniel Křetínský,frwiki,Human
Q84247209,13104855,Daniel Maldini,frwiki,Human
Q18129450,13227969,Daniel Yuste,frwiki,Human
Q15830919,8383980,Daniele Rugani,frwiki,Human
Q3015089,4964641,Danilo Barozzi,frwiki,Human
Q2450102,348257,Dave Greenfield,frwiki,Human
Q48700293,10264334,David Brooks (tueur),frwiki,Human
Q310098,743763,David Bryan,frwiki,Human
Q5232007,13233627,David C. Driskell,frwiki,Human
Q90812370,13261682,David Méresse,frwiki,Human
Q60478,5459381,DeAndre Jordan,frwiki,Human
Q238671,967050,Debi Mazar,frwiki,Human
Q4140539,9003625,"Delino DeShields, Jr.",frwiki,Human
Q89018986,13223053,Denise Millet,frwiki,Human
Q85173778,13208101,Désinformation sur la pandémie de Covid-19,frwiki,Others
Q3706229,12162559,Detto Mariano,frwiki,Human
Q88459495,13215674,Développement et recherche de médicaments contre la Covid-19,frwiki,Others
Q422252,326279,Dexaméthasone,frwiki,Others
Q19635577,9433064,Dimítrios Kremastinós,frwiki,Human
Q1227076,6833370,Diosdado Cabello,frwiki,Human
Q989330,354770,Disneyland Resort Line,frwiki,Others
Q3011059,5513032,DJ LeMahieu,frwiki,Human
Q944421,13260791,Dmitri Smirnov,frwiki,Human
Q21888028,10061539,Dmitry Strakhov,frwiki,Human
Q24572712,12758647,Dominic Cummings,frwiki,Human
Q3035559,2314826,Dominique de Legge,frwiki,Human
Q1240726,3510378,Donato Sabia,frwiki,Human
Q5296298,10879845,Donna Air,frwiki,Human
Q30122104,10928068,Donovan Mitchell,frwiki,Human
Q63198327,12499714,Dora Werzberg,frwiki,Human
Q5304908,13318425,Dragan Vučić,frwiki,Human
Q47668952,13239676,Duan Zhengcheng,frwiki,Human
Q16337378,13407790,Dulce Nunes,frwiki,Human
Q23762815,12491951,Dušan Vlahović,frwiki,Human
Q29986806,10874033,"Dwight Smith, Jr.",frwiki,Human
Q3046479,3404344,Earvin Ngapeth,frwiki,Human
Q1295235,13419131,Edén Pastora Gómez,frwiki,Human
Q27999131,10463645,Eduardo Santos Itoiz,frwiki,Human
Q1771,1928627,Ehsan Hadadi,frwiki,Human
Q5362050,13252314,Eliahou Bakshi-Doron,frwiki,Human
Q579231,3568474,Eliaquim Mangala,frwiki,Human
Q30342359,10946896,Élisabeth Toutut-Picard,frwiki,Human
Q487043,10615465,Ellis Marsalis Jr.,frwiki,Human
Q2524635,9742841,Elsa Joubert,frwiki,Human
Q4969401,6992588,Elsebeth Gerner Nielsen,frwiki,Human
Q1338344,3060988,Emmanuel Delmas,frwiki,Human
Q33142338,3614190,Emmanuelle Wargon,frwiki,Human
Q3054705,1242760,Enrique Múgica,frwiki,Human
