QID,page id,item,wiki db,category,Unnamed: 5
Q87914789,7362326,بروس آيلوارد,arwiki,Human,False
Q4974402,5681075,بروك بالدوين,arwiki,Human,False
Q382700,5734673,بريت دين,arwiki,Human,False
Q89197302,7430518,بريت كروزير,arwiki,Human,False
Q130853,1668735,بلاثيدو دومينغو,arwiki,Human,False
Q1921,833007,بليز ماتويدي,arwiki,Human,False
Q19663167,3651752,بودي هيلد,arwiki,Human,False
Q14905846,2713292,بورنا كوريتش,arwiki,Human,False
Q125663,3229400,بوريس أكونين,arwiki,Human,False
Q180589,1108676,بوريس جونسون,arwiki,Human,False
Q1363756,1090950,بول غوما,arwiki,Human,False
Q344983,932763,بيبي فيس,arwiki,Human,False
Q2351115,6247195,بيت كوزما,arwiki,Human,False
Q7174885,6735060,بيتر جيمس نيفن سنكلير,arwiki,Human,False
Q700558,3692004,بيتر مادسن (لاعب كرة قدم),arwiki,Human,False
Q4468157,6616045,بيلي لي تورنر,arwiki,Human,False
Q160009,771091,بينك (مغنية),arwiki,Human,False
Q57343,676070,بيير نكورونزيزا,arwiki,Human,False
Q3903362,7353262,بييرو شليزنجر,arwiki,Human,False
Q89864650,7499937,تأثير جائحة فيروس كورونا 2019–20 على السجون,arwiki,Others,False
Q2462506,6136400,تاي (موسيقي),arwiki,Human,False
Q2486104,3198515,تري ثومبكينز,arwiki,Human,False
Q43274,83145,تشارلز (أمير ويلز),arwiki,Human,False
Q5075443,5389608,تشارلز بارون,arwiki,Human,False
Q2960824,6821215,تشارلي بلاكمون,arwiki,Human,False
Q456623,5588489,تشاك بيلي,arwiki,Human,False
Q9096750,7271866,تشونغ نان شان,arwiki,Human,False
Q88459495,7379560,تطوير دواء كوفيد-19,arwiki,Others,False
Q89966200,7466477,تنبؤات الجائحة والاستعدادات قبل جائحة كوفيد-19,arwiki,Others,False
Q21063926,3654281,توريان برينس,arwiki,Human,False
Q425154,1591571,توسيليزوماب,arwiki,Others,False
Q35342309,3742897,توفيق الياسري,arwiki,Human,False
Q2439627,6203315,توم ديمبسي,arwiki,Human,False
Q2263,52489,توم هانكس,arwiki,Human,False
Q213616,828434,توماس كالينبيرغ,arwiki,Human,False
Q7818846,2443197,تومي يوريتش,arwiki,Human,False
Q107249,257857,توني شلهوب,arwiki,Human,False
Q7706939,3723866,تيتسويا فوناتسو,arwiki,Human,False
Q16730116,5388463,تيتو جاكسون (سياسي),arwiki,Human,False
Q7693568,5380356,تيد أوبراين,arwiki,Human,False
Q7804179,5775149,تيم روبنسون,arwiki,Human,False
Q34660,6108,ج. ك. رولينغ,arwiki,Human,False
Q87742131,7443256,جائحة الفيروسات التاجية لعام 2020 في واشنطن العاصمة,arwiki,Region,False
Q87655120,7441065,جائحة فايروس كورونا في مجتمع مدريد 2020,arwiki,Region,False
Q81068910,7229643,جائحة فيروس كورونا 2019–20,arwiki,Bio-Med,False
Q87760039,7423371,جائحة فيروس كورونا 2020 في سيتشوان,arwiki,Region,False
Q88082786,7417769,جائحة فيروس كورونا 2020 في نيو برونزويك,arwiki,Region,False
Q86745927,7436713,جائحة فيروس كورونا على سفينة أميرة الألماس 2020,arwiki,Region,False
Q89490207,7399269,جائحة فيروس كورونا على يو إس إس ثيودور روزفلت (CVN-71) 2020,arwiki,Region,False
Q86597695,7409490,جائحة فيروس كورونا فى البرازيل 2020,arwiki,Region,False
Q86521237,7325212,جائحة فيروس كورونا في آسيا 2019–20,arwiki,Region,False
Q87121993,7544784,جائحة فيروس كورونا في آيسلندا 2020,arwiki,Region,False
Q87743905,7562399,جائحة فيروس كورونا في آيوا 2020,arwiki,Region,False
Q90137185,7413090,جائحة فيروس كورونا في أبخازيا 2020,arwiki,Region,False
Q87822808,7502316,جائحة فيروس كورونا في أتر برديش 2020,arwiki,Region,False
Q87722485,7369168,جائحة فيروس كورونا في أذربيجان 2020,arwiki,Region,False
Q87745216,7384716,جائحة فيروس كورونا في أركانساس 2020,arwiki,Region,False
