QID,page id,item,wiki db,category
Q213616,2359215,Thomas Kahlenberg,ptwiki,Human
Q217238,119743,Jimmie Johnson,ptwiki,Human
Q21888028,6010352,Dmitry Strakhov,ptwiki,Human
Q222851,5130809,Harrison Barnes,ptwiki,Human
Q2263,77178,Tom Hanks,ptwiki,Human
Q2268878,6248464,Bob Lazier,ptwiki,Human
Q22921036,6236425,Sergio Rossi,ptwiki,Human
Q230445,1115769,Sara Bareilles,ptwiki,Human
Q2317740,2712477,Jason Collins,ptwiki,Human
Q234144,343000,Rita Wilson,ptwiki,Human
Q23831029,1172578,Antonio Tarantino,ptwiki,Human
Q238671,1313472,Debi Mazar,ptwiki,Human
Q24005266,6073087,Andrew Watt,ptwiki,Human
Q2439627,3013887,Tom Dempsey,ptwiki,Human
Q2462506,6265831,Ty (rapper),ptwiki,Human
Q2486104,5308217,Trey Thompkins,ptwiki,Human
Q2524068,1639012,Wanderley Mariz,ptwiki,Human
Q258586,6216115,Nadine Dorries,ptwiki,Human
Q26211997,5360825,Jannes Horn,ptwiki,Human
Q262203,1507114,Fatih Terim,ptwiki,Human
Q2622339,3211640,Lev Leschenko,ptwiki,Human
Q2655701,6245432,Harry Aarts,ptwiki,Human
Q2682651,6272742,Claes Borgström,ptwiki,Human
Q2689047,512700,Jonathas Cristian de Jesus,ptwiki,Human
Q268961,186481,John Conway,ptwiki,Human
Q271765,2435806,Laura Bell Bundy,ptwiki,Human
Q271933,2200253,Patrick Ewing,ptwiki,Human
Q2720169,5063109,Joaquim da Bélgica,ptwiki,Human
Q2745548,2086238,Sandi Patty,ptwiki,Human
Q2746785,6284106,Claude Goasguen,ptwiki,Human
Q275169,2137375,Marouane Fellaini,ptwiki,Human
Q27662830,6274209,Ann Katharine Mitchell,ptwiki,Human
Q281708,5976175,Jens Keukeleire,ptwiki,Human
Q2824007,6234166,Adam Schlesinger,ptwiki,Human
Q28377792,5507023,Patrick Cutrone,ptwiki,Human
Q2863379,6235676,Arnold Sowinski,ptwiki,Human
Q2871915,6224352,Aurlus Mabélé,ptwiki,Human
Q28911753,6233785,Branislav Blažić,ptwiki,Human
Q28967968,5800631,Fabio Depaoli,ptwiki,Human
Q2915906,6252956,Teruyuki Okazaki,ptwiki,Human
Q2918270,6230884,Alan Merrill,ptwiki,Human
Q29230,1970346,Martti Ahtisaari,ptwiki,Human
Q29525790,6282210,Marc Engels,ptwiki,Human
Q29545,2487123,Kevin Durant,ptwiki,Human
Q29639760,6332369,Luis Arias Graziani,ptwiki,Human
Q296684,1923147,Ezequiel Garay,ptwiki,Human
Q296724,3829457,Mahmoud Jibril,ptwiki,Human
Q299700,252495,Daniel Dae Kim,ptwiki,Human
Q30122104,5452894,Donovan Mitchell,ptwiki,Human
Q3015089,5981862,Danilo Barozzi,ptwiki,Human
Q303293,2854736,Aarón Padilla Gutiérrez,ptwiki,Human
Q3046479,4808751,Earvin N'Gapeth,ptwiki,Human
Q3054705,6240770,Enrique Múgica,ptwiki,Human
Q3069409,200302,Fernanda Paes Leme,ptwiki,Human
Q3087003,6087444,Freddie Freeman,ptwiki,Human
Q30930334,5334464,Gil Vianna,ptwiki,Human
Q310098,1160977,David Bryan,ptwiki,Human
Q3131915,6272534,Henri Richelet,ptwiki,Human
Q314861,1563338,Luis Fernández,ptwiki,Human
Q3159913,6258893,Jacques Rosny,ptwiki,Human
Q318410,2330135,Cameron van der Burgh,ptwiki,Human
Q318991,2700467,Gad Elmaleh,ptwiki,Human
Q321770,4371565,Aaron Tveit,ptwiki,Human
Q325363,5182179,Patrick Groetzki,ptwiki,Human
Q3265178,6067259,Lucian Grainge,ptwiki,Human
Q3265723,6225910,Lucien Sève,ptwiki,Human
Q3300367,6275088,Maurice Barrier,ptwiki,Human
Q3340026,6222985,Nicolas Alfonsi,ptwiki,Human
Q334126,263692,Luis Sepúlveda,ptwiki,Human
Q3350076,4678908,Mashrafe Mortaza,ptwiki,Human
Q336363,2817760,Ali Larijani,ptwiki,Human
Q3374,454675,Anne-Sophie Mutter,ptwiki,Human
Q337681,2869653,Grigor Dimitrov,ptwiki,Human
Q3391271,1427500,Di Ferrero,ptwiki,Human
Q342604,1417979,Idris Elba,ptwiki,Human
Q3430000,5575873,Riad Ismat,ptwiki,Human
Q3446792,4705323,Rudy Gobert,ptwiki,Human
Q344983,2304044,Babyface,ptwiki,Human
Q34660,14072,J. K. Rowling,ptwiki,Human
Q3473390,6124692,Sarah Maldoror,ptwiki,Human
Q3479546,5096838,Serge Telle,ptwiki,Human
Q3479678,6250628,Sergio Onofre Jarpa,ptwiki,Human
Q35191,2089003,Carnaval de Veneza,ptwiki,Others
Q352696,2663858,Michael Beasley,ptwiki,Human
Q35281,2655214,Carnaval de Basileia,ptwiki,Others
Q355009,2563243,Jackson Browne,ptwiki,Human
Q35633,6093500,Itziar Ituño,ptwiki,Human
Q3593648,6259571,Óscar Chávez,ptwiki,Human
Q371652,1892829,Albin Ekdal,ptwiki,Human
Q3753357,6242739,Carlos Seco Serrano,ptwiki,Human
Q3761173,5339101,Germán Pezzella,ptwiki,Human
Q3798974,6259426,Innocenzo Donina,ptwiki,Human
Q3804395,6216312,Italo De Zan,ptwiki,Human
Q3810475,4751738,José Luis Capón,ptwiki,Human
Q3816656,6230186,Rodolfo González Rissotto,ptwiki,Human
Q3838576,6245041,Luciano Federici,ptwiki,Human
Q3910,70614,Alberto II de Mônaco,ptwiki,Human
Q3938207,4872381,Robert Beck,ptwiki,Human
Q394077,4085281,Dynamo,ptwiki,Human
Q401433,1304512,Ahmed Radhi,ptwiki,Human
Q422252,540305,Dexametasona,ptwiki,Others
Q42396622,5803653,Callum Hudson-Odoi,ptwiki,Human
Q42402,77048,Andrea Bocelli,ptwiki,Human
Q425154,2872952,Tocilizumabe,ptwiki,Others
Q42571276,6250229,Gita Ramjee,ptwiki,Human
Q42770663,6337654,Keisha Lance Bottoms,ptwiki,Human
Q4298520,6173164,Mikhail Mishustin,ptwiki,Human
Q430746,2090100,Norman Hunter,ptwiki,Human
Q43274,22445,"Carlos, Príncipe de Gales",ptwiki,Human
Q433215,4016570,Ana Pastor Julián,ptwiki,Human
Q437950,4946186,Katrina Adams,ptwiki,Human
Q438465,6222264,Michel Barnier,ptwiki,Human
Q439354,6217098,Ali Akbar Velayati,ptwiki,Human
Q445438,589067,Christopher Cross,ptwiki,Human
Q445829,2503303,Manu Dibango,ptwiki,Human
Q4468223,4840162,Wu Lei,ptwiki,Human
Q447509,6238941,Hal Willner,ptwiki,Human
Q450643,3341744,Ernest Vinberg,ptwiki,Human
Q451302,2055167,Nur Hassan Hussein,ptwiki,Human
Q453393,1495669,Lee Konitz,ptwiki,Human
Q456623,252845,Chuck Billy,ptwiki,Human
Q463557,2947205,Rand Paul,ptwiki,Human
Q463585,2228844,Indira Varma,ptwiki,Human
Q465470,1853863,Sébastien Chabal,ptwiki,Human
Q466012,5366494,Bartosz Bereszyński,ptwiki,Human
Q4669126,302434,Abraham Palatnik,ptwiki,Human
Q47011474,5619945,Asdrubal Bentes,ptwiki,Human
Q47059,383559,Aishwarya Rai,ptwiki,Human
Q4713827,126599,Aldir Blanc,ptwiki,Human
Q4717362,4370880,Alex Len,ptwiki,Human
Q4720226,6236420,Alexander Thynn,ptwiki,Human
Q4769295,6276665,Annie Glenn,ptwiki,Human
Q48122905,5566467,Deiveson Figueiredo,ptwiki,Human
Q48280,120623,Marianne Faithfull,ptwiki,Human
Q483027,200967,Paolo Maldini,ptwiki,Human
Q487043,6234209,Ellis Marsalis Jr.,ptwiki,Human
Q48872746,5573588,Naomi Munakata,ptwiki,Human
Q491019,3400973,Herman Cain,ptwiki,Human
Q493567,5888772,Peter Piot,ptwiki,Human
Q4974402,6232294,Brooke Baldwin,ptwiki,Human
Q50198692,5824672,Thiago Seyboth Wild,ptwiki,Human
Q50824635,5989090,Javier Ortega Smith,ptwiki,Human
Q5112179,6228757,Chris Cuomo,ptwiki,Human
Q5121945,483360,Ciro Pessoa,ptwiki,Human
Q512592,1314793,Slim Thug,ptwiki,Human
Q5172694,6324635,Corra Dirksen,ptwiki,Human
Q5231508,6270709,David Boe,ptwiki,Human
Q5232007,6245513,David Driskell,ptwiki,Human
Q527026,6277828,Vincent Malone,ptwiki,Human
Q5304908,6265763,Dragan Vučić,ptwiki,Human
Q531599,2835581,Harvey Weinstein,ptwiki,Human
Q5336214,6235826,Eddie Large,ptwiki,Human
Q536199,6229629,Angelo Moreschi,ptwiki,Human
Q5397780,6215918,Eshaq Jahangiri,ptwiki,Human
Q540283,841322,John Taylor (baixista),ptwiki,Human
Q5479644,6321040,Idoia Mendia,ptwiki,Human
Q549752,825036,Aldo Pagotto,ptwiki,Human
Q55030082,5766320,Charlotte Lawrence,ptwiki,Human
Q5560829,4414648,Gilbert Burns,ptwiki,Human
Q556314,4280031,Philippe Ouédraogo,ptwiki,Human
Q558820,2787171,Gotoku Sakai,ptwiki,Human
Q56195632,5847848,Cezinha de Madureira,ptwiki,Human
Q56276347,6050408,YNW Melly,ptwiki,Human
Q573246,4554415,Anthony Fauci,ptwiki,Human
Q57343,2394601,Pierre Nkurunziza,ptwiki,Human
Q57567,2814998,Joël Matip,ptwiki,Human
Q579231,3346499,Eliaquim Mangala,ptwiki,Human
Q5812,928894,Novak Djokovic,ptwiki,Human
Q588067,2256031,Natalie Horler,ptwiki,Human
Q59202678,5848345,Daniel Freitas,ptwiki,Human
Q59308525,5879998,Bento Albuquerque,ptwiki,Human
Q59387154,6273297,Dennis G. Peters,ptwiki,Human
Q5946269,6212584,Fatemeh Rahbar,ptwiki,Human
Q5951723,4337366,Juan Orlando Hernández,ptwiki,Human
Q59822632,6001727,David Corrêa,ptwiki,Human
Q60478,3844123,DeAndre Jordan,ptwiki,Human
Q6089269,6246176,Aytaç Yalman,ptwiki,Human
Q61000646,5897922,Ataíde Teruel,ptwiki,Human
Q6110020,5264428,Jabari Parker,ptwiki,Human
Q61161331,6223469,Stephen Schwartz (patologista),ptwiki,Human
Q614675,4752008,Patrick McEnroe,ptwiki,Human
Q6166387,6237958,Jay Benedict,ptwiki,Human
Q6292322,2700152,Patrick Chesnais,ptwiki,Human
Q6390090,4858915,Kenneth Farnum,ptwiki,Human
Q6438398,4157341,Kristofer Hivju,ptwiki,Human
Q6757719,5018622,Marco Sportiello,ptwiki,Human
Q6758454,5350783,Marcus Smart,ptwiki,Human
Q679049,1680567,Vittorio Gregotti,ptwiki,Human
Q6832740,6231332,Michael McKinnell,ptwiki,Human
Q690395,6233455,Germà Colón,ptwiki,Human
Q691911,4412995,Mitchell Langerak,ptwiki,Human
Q700558,1449963,Peter Madsen,ptwiki,Human
Q708158,2250684,Scarface (rapper),ptwiki,Human
Q712430,1043414,Pavel Bém,ptwiki,Human
Q7155119,2204239,Paulinho Paiakã,ptwiki,Human
Q717045,3190010,Jim Edmonds,ptwiki,Human
Q7193787,4719380,Pilar Pellicer,ptwiki,Human
Q720068,6247329,Allen Daviau,ptwiki,Human
Q72206332,6137802,Nestor Forster,ptwiki,Human
Q7242108,299694,Preta Gil,ptwiki,Human
Q728753,267507,Steve DiGiorgio,ptwiki,Human
Q7324359,6239890,Richard Brodsky,ptwiki,Human
Q740411,5962309,Joachim Yhombi-Opango,ptwiki,Human
Q753852,1490836,USS Theodore Roosevelt (CVN-71),ptwiki,Others
Q7564291,4702191,Wahab Riaz,ptwiki,Human
Q7666107,112487,Sérgio Sant'Anna,ptwiki,Human
Q777319,2456365,Felipe Nasr,ptwiki,Human
Q7804179,6235683,Tim Robinson,ptwiki,Human
Q7818846,4751242,Tomi Juric,ptwiki,Human
Q78515,3325456,Carlos de Habsburgo-Lorena,ptwiki,Human
Q795924,3549316,Mobile World Congress,ptwiki,Others
Q8009341,6235748,William Frankland,ptwiki,Human
Q8040173,6244591,Wynn Handman,ptwiki,Human
Q8059945,6262357,Yu Lihua,ptwiki,Human
Q81068910,6175224,Pandemia de COVID-19,ptwiki,Bio-Med
Q82069695,6217073,Coronavírus da síndrome respiratória aguda grave 2,ptwiki,Others
Q83264280,6193808,Mercado Atacadista de Frutos do Mar de Huanan,ptwiki,Others
Q83493517,6185785,Cronologia da pandemia de COVID-19,ptwiki,Others
Q8353446,1330112,Daisy Lúcidi,ptwiki,Human
Q83554667,6222790,Lockdown em Hubei em 2020,ptwiki,Others
Q83554783,6191391,Hospital de Huoshenshan,ptwiki,Others
Q83741704,6181182,Pandemia de COVID-19 por país,ptwiki,Others
Q83766264,6191368,Hospital de Leishenshan,ptwiki,Others
Q83872271,6205822,Pandemia de COVID-19 na China continental,ptwiki,Region
Q83872291,6217158,Pandemia de COVID-19 no Japão,ptwiki,Region
Q83872398,6205967,Pandemia de COVID-19 na Coreia do Sul,ptwiki,Region
Q83873548,6216634,Pandemia de COVID-19 na Austrália,ptwiki,Region
Q83873556,6222844,Pandemia de COVID-19 na Malásia,ptwiki,Region
Q83873566,6226599,Pandemia de COVID-19 na Tailândia,ptwiki,Region
Q83873577,6203749,Pandemia de COVID-19 nos Estados Unidos,ptwiki,Region
Q83873580,6203692,Pandemia de COVID-19 no Canadá,ptwiki,Region
Q83873593,6209471,Pandemia de COVID-19 na França,ptwiki,Region
Q83889294,6209484,Pandemia de COVID-19 na Alemanha,ptwiki,Region
Q84055415,6211520,Pandemia de COVID-19 na Finlândia,ptwiki,Region
Q84055514,6223167,Pandemia de COVID-19 na Índia,ptwiki,Region
Q84081576,6206500,Pandemia de COVID-19 na Suécia,ptwiki,Region
Q84098939,6225386,Pandemia de COVID-19 na Rússia,ptwiki,Region
Q84104992,6205945,Pandemia de COVID-19 na Itália,ptwiki,Region
Q84146057,6262060,Pandemia de COVID-19 em Hong Kong,ptwiki,Region
Q84166704,6207563,Pandemia de COVID-19 na Espanha,ptwiki,Region
Q84167106,6222397,Pandemia de COVID-19 no Reino Unido,ptwiki,Region
Q84263196,6191399,COVID-19,ptwiki,Others
Q843822,5372426,Boglárka Kapás,ptwiki,Human
Q84446340,6242067,Pandemia de COVID-19 na Bélgica,ptwiki,Region
Q84497471,6187310,Li Wenliang (médico),ptwiki,Human
Q84590527,6221408,Pandemia de COVID-19 em navios de cruzeiro,ptwiki,Region
Q84762892,6217858,Evacuações relacionadas à pandemia de COVID-19,ptwiki,Others
Q85173778,6228516,Desinformação na pandemia de COVID-19,ptwiki,Others
Q85173796,6222426,Cronologia da pandemia de COVID-19 em fevereiro de 2020,ptwiki,Others
Q85245727,6229317,Liang Wudong,ptwiki,Human
Q85872060,6237527,Pandemia de COVID-19 em Macau,ptwiki,Region
Q85872065,6215482,Impactos da pandemia de COVID-19,ptwiki,Others
Q85873158,6068328,José Gentil Rosa,ptwiki,Human
Q85876114,6205840,Pandemia de COVID-19 no Irã,ptwiki,Region
Q86458103,6208546,Pandemia de COVID-19 na Europa,ptwiki,Region
Q86521237,6204197,Pandemia de COVID-19 na Ásia,ptwiki,Region
Q86597685,6268098,Pandemia de COVID-19 na Dinamarca,ptwiki,Region
Q86597695,6205135,Pandemia de COVID-19 no Brasil,ptwiki,Region
Q86628344,6225757,Pandemia de COVID-19 no México,ptwiki,Region
Q86675924,6220986,Pandemia de COVID-19 na Coreia do Norte,ptwiki,Region
Q86694210,6213079,Pandemia de COVID-19 na Oceania,ptwiki,Region
Q86694873,6207239,Pandemia de COVID-19 na África,ptwiki,Region
Q86715481,6207254,Nuno Gomes Nabiam,ptwiki,Human
Q86717788,6210592,Pandemia de COVID-19 na Suíça,ptwiki,Region
Q86745927,6206061,Pandemia de COVID-19 no navio Diamond Princess,ptwiki,Region
Q86756826,6219267,Pandemia de COVID-19 nos Países Baixos,ptwiki,Region
Q86847911,6208551,Pandemia de COVID-19 na Áustria,ptwiki,Region
Q86886544,6228596,Pandemia de COVID-19 na Noruega,ptwiki,Region
Q86901049,6218240,Diagnóstico de COVID-19,ptwiki,Others
Q86913546,6301924,Pandemia de COVID-19 na Indonésia,ptwiki,Region
Q86919406,6222819,Pandemia de COVID-19 na Chéquia,ptwiki,Region
Q86948603,6205158,Pandemia de COVID-19 em Portugal,ptwiki,Region
Q87058723,6223331,Pandemia de COVID-19 em Marrocos,ptwiki,Region
Q87066621,6221556,Pandemia de COVID-19 na Letônia,ptwiki,Region
Q87068864,6225318,Pandemia de COVID-19 na Grécia,ptwiki,Region
Q87070975,6242264,Pandemia de COVID-19 em Israel,ptwiki,Region
Q87116829,6210690,Pandemia de COVID-19 no Egito,ptwiki,Region
Q87119811,6239358,Pandemia de COVID-19 na Hungria,ptwiki,Region
Q87123561,6220291,Pandemia de COVID-19 em San Marino,ptwiki,Region
Q87144389,6226975,Pandemia de COVID-19 em Guadalupe,ptwiki,Region
Q87144458,6224337,Pandemia de COVID-19 na Guiana Francesa,ptwiki,Region
Q87144476,6227052,Pandemia de COVID-19 em São Bartolomeu,ptwiki,Region
Q87161441,6225437,Pandemia de COVID-19 na Martinica,ptwiki,Region
Q87162010,6223349,Pandemia de COVID-19 em Reunião,ptwiki,Region
Q87162202,6223161,Pandemia de COVID-19 em Mayotte,ptwiki,Region
Q87186117,6250521,Pandemia de COVID-19 na Arábia Saudita,ptwiki,Region
Q87186365,6220254,Pandemia de COVID-19 na Irlanda,ptwiki,Region
Q87191204,6229843,Pandemia de COVID-19 no Chile,ptwiki,Region
Q87193778,6219411,Pandemia de COVID-19 na Sérvia,ptwiki,Region
Q87199320,6225354,Pandemia de COVID-19 na Palestina,ptwiki,Region
Q87200954,6221566,Pandemia de COVID-19 na Eslováquia,ptwiki,Region
Q87202921,6212603,Pandemia de COVID-19 na Argélia,ptwiki,Region
Q87219910,6212300,Valerio Moro,ptwiki,Human
Q87222526,6219338,Pandemia de COVID-19 no Vaticano,ptwiki,Region
Q87235137,6218767,Pandemia de COVID-19 na Argentina,ptwiki,Region
Q87235177,6219449,Pandemia de COVID-19 na Ucrânia,ptwiki,Region
Q87243915,6222976,Pandemia de COVID-19 na África do Sul,ptwiki,Region
Q87250713,6225429,Pandemia de COVID-19 no Equador,ptwiki,Region
Q87250732,6222233,Pandemia de COVID-19 na Croácia,ptwiki,Region
Q87250770,6221467,Pandemia de COVID-19 na Bósnia e Herzegovina,ptwiki,Region
Q87250788,6221498,Pandemia de COVID-19 na Bielorrússia,ptwiki,Region
Q87250803,6221550,Pandemia de COVID-19 na Nova Zelândia,ptwiki,Region
Q87250819,6219318,Pandemia de COVID-19 no Liechtenstein,ptwiki,Region
Q87250838,6218648,Pandemia de COVID-19 na Lituânia,ptwiki,Region
Q87250860,6219311,Pandemia de COVID-19 no Luxemburgo,ptwiki,Region
Q87250877,6220726,Pandemia de COVID-19 em Mônaco,ptwiki,Region
Q87250930,6222989,Pandemia de COVID-19 nos Camarões,ptwiki,Region
Q87343682,6223926,Pandemia de COVID-19 na Tunísia,ptwiki,Region
Q87406428,6212297,Pandemia de COVID-19 na América,ptwiki,Region
Q87450756,6220658,Pandemia de COVID-19 na Albânia,ptwiki,Region
Q87454162,6225237,Pandemia de COVID-19 em Omã,ptwiki,Region
Q87473205,6225863,Pandemia de COVID-19 na Turquia,ptwiki,Region
Q87477462,6252817,Pandemia de COVID-19 na Costa Rica,ptwiki,Region
Q87477841,6220817,Pandemia de COVID-19 no Panamá,ptwiki,Region
Q87480220,6221982,Pandemia de COVID-19 na Bolívia,ptwiki,Region
Q87483673,6224875,Pandemia de COVID-19 na Colômbia,ptwiki,Region
Q87558710,6272432,Roberto Stella,ptwiki,Human
Q87576674,6216610,Fabio Wajngarten,ptwiki,Human
Q87580938,6221510,Pandemia de COVID-19 no Chipre,ptwiki,Region
Q87587763,6227393,Pandemia de COVID-19 no Peru,ptwiki,Region
Q87589123,6221006,Pandemia de COVID-19 no Paraguai,ptwiki,Region
Q87589400,6228519,Impactos da pandemia de COVID-19 no desporto,ptwiki,Others
Q87590993,6220525,Pandemia de COVID-19 em Cuba,ptwiki,Region
Q87629158,6217206,Queda do mercado de ações em 2020,ptwiki,Others
Q87648388,6221720,Pandemia de COVID-19 na Nova Caledônia,ptwiki,Region
Q87648634,6220298,Pandemia de COVID-19 na Armênia,ptwiki,Region
Q87651970,6223343,Pandemia de COVID-19 na Guiné,ptwiki,Region
Q87651995,6220284,Pandemia de COVID-19 no Cazaquistão,ptwiki,Region
Q87652010,6221288,Pandemia de COVID-19 na Venezuela,ptwiki,Region
Q87652750,6272449,Nasser Shabani,ptwiki,Human
Q87655119,6219398,Pandemia de COVID-19 no Kosovo,ptwiki,Region
Q87656613,6242526,Pandemia de COVID-19 em Saint-Pierre e Miquelon,ptwiki,Region
Q87657486,6223908,Pandemia de COVID-19 no Sudão,ptwiki,Region
Q87659698,6221222,Pandemia de COVID-19 na Guiana,ptwiki,Region
Q87660365,6227616,Pandemia de COVID-19 no Uruguai,ptwiki,Region
Q87662819,6220378,Pandemia de COVID-19 no Togo,ptwiki,Region
Q87664046,6221710,Pandemia de COVID-19 no Suriname,ptwiki,Region
Q87665038,6221268,Pandemia de COVID-19 na Etiópia,ptwiki,Region
Q87665364,6222982,Pandemia de COVID-19 no Burkina Faso,ptwiki,Region
Q87666042,6223851,Pandemia de COVID-19 no Gabão,ptwiki,Region
Q87666247,6222240,Pandemia de COVID-19 no Gana,ptwiki,Region
Q87669612,6220314,Pandemia de COVID-19 na Guatemala,ptwiki,Region
Q87687648,6226914,Pandemia de COVID-19 em São Vicente e Granadinas,ptwiki,Region
Q87694131,6226906,Pandemia de COVID-19 em Trindade e Tobago,ptwiki,Region
