QID,page id,item,wiki db,category
Q445438,947384,Christopher Cross,eswiki,Human
Q1981289,4342076,Christopher De León,eswiki,Human
Q456623,3259309,Chuck Billy,eswiki,Human
Q2746785,5517762,Claude Goasguen,eswiki,Human
Q91167491,9381891,Claude Lafortune,eswiki,Human
Q87629158,9329873,Colapso del mercado de valores de 2020,eswiki,Others
Q83554667,9273204,Confinamiento de Hubei de 2020,eswiki,Others
Q89290024,9355015,Constantino Juri,eswiki,Human
Q84263196,9291525,COVID-19,eswiki,Others
Q88058672,9340758,COVID-19 en el embarazo,eswiki,Others
Q3002872,9354987,Cristina (cantante estadounidense),eswiki,Human
Q87866152,9333598,Cuarentena por la pandemia de enfermedad por coronavirus de 2019-2020,eswiki,Others
Q3008822,449059,Cynthia Viteri,eswiki,Human
Q536308,8244395,D. L. Hughley,eswiki,Human
Q8353446,5001479,Daisy Lúcidi,eswiki,Human
Q2779131,7441761,Danie Gerber,eswiki,Human
Q10263911,9350332,Daniel Azulay,eswiki,Human
Q299700,599536,Daniel Dae Kim,eswiki,Human
Q84247209,9241884,Daniel Maldini,eswiki,Human
Q18129450,9351965,Daniel Yuste,eswiki,Human
Q15830919,6919767,Daniele Rugani,eswiki,Human
Q3015089,7721820,Danilo Barozzi,eswiki,Human
Q11088726,8929963,Danza de la muerte de Verges,eswiki,Others
Q5228272,9385523,Dave Bacuzzi,eswiki,Human
Q91024446,9379495,Dave Roland,eswiki,Human
Q10264359,8835784,Davi Alcolumbre,eswiki,Human
Q5231508,9398117,David Boe,eswiki,Human
Q310098,269200,David Bryan,eswiki,Human
Q5232007,9358637,David Driskell,eswiki,Human
Q89047239,9358947,David Hodgkiss,eswiki,Human
Q90812370,9382519,David Méresse,eswiki,Human
Q60478,1835910,DeAndre Jordan,eswiki,Human
Q238671,1183494,Debi Mazar,eswiki,Human
Q48122905,9330523,Deiveson Figueiredo,eswiki,Human
Q89018986,9358066,Denise Millet,eswiki,Human
Q59387154,9379384,Dennis G. Peters,eswiki,Human
Q85173778,9362571,Desinformación sobre la pandemia de enfermedad por coronavirus de 2019-2020,eswiki,Others
Q3706229,9343672,Detto Mariano,eswiki,Human
Q422252,1367109,Dexametasona,eswiki,Others
Q3391271,3192058,Diego Ferrero,eswiki,Human
Q1227076,187805,Diosdado Cabello,eswiki,Human
Q3011059,8061453,DJ LeMahieu,eswiki,Human
Q944421,9366523,Dmitri Smirnov (compositor),eswiki,Human
Q21888028,8404258,Dmitri Strajov,eswiki,Human
Q24572712,9086511,Dominic Cummings,eswiki,Human
Q1240022,9384477,Donald Kennedy,eswiki,Human
Q1240726,8305355,Donato Sabia,eswiki,Human
Q5296298,8707948,Donna Air,eswiki,Human
Q30122104,7977557,Donovan Mitchell,eswiki,Human
Q63198327,9361587,Dora Werzberg,eswiki,Human
Q47668952,9334001,Duan Zhengcheng,eswiki,Human
Q23762815,7394859,Dušan Vlahović,eswiki,Human
Q394077,5548903,Dynamo (ilusionista),eswiki,Human
Q3046479,6959489,Earvin N'Gapeth,eswiki,Human
Q1295235,1583138,Edén Pastora,eswiki,Human
Q21515658,9343721,Edman Ayvazyan,eswiki,Human
Q27999131,8153374,Eduardo Santos Itoiz,eswiki,Human
Q1771,5246946,Ehsan Hadadi,eswiki,Human
Q51461749,6233804,El Príncipe Gitano,eswiki,Human
Q89690342,9368733,Eli Velder,eswiki,Human
Q579231,4768144,Eliaquim Mangala,eswiki,Human
Q5362050,9372902,Eliyahu Bakshi-Doron,eswiki,Human
Q91503406,9385538,Ella King Russell Torrey,eswiki,Human
Q487043,4376273,Ellis Marsalis,eswiki,Human
Q2524635,6890040,Elsa Joubert,eswiki,Human
Q91767492,9387754,Emeterio Gómez,eswiki,Human
Q5830829,2272377,Emilia Currás,eswiki,Human
Q1337533,9396593,Emilio Allué,eswiki,Human
Q3054705,541413,Enrique Múgica,eswiki,Human
Q1317442,4197612,Eric Bledsoe,eswiki,Human
Q90909454,9377850,Ernesto Gutiérrez Vera,eswiki,Human
Q5397780,6102497,Eshaq Yahanguirí,eswiki,Human
Q2083681,95522,Esperanza Aguirre,eswiki,Human
Q2130136,9402789,Estación de West Kowloon,eswiki,Others
Q1373340,9516407,Eugenio Scarpellini,eswiki,Human
Q296684,750474,Ezequiel Garay,eswiki,Human
Q96072211,9460698,Fabiana Anastácio,eswiki,Human
Q28967968,8630838,Fabio Depaoli,eswiki,Human
Q5435227,9333961,Fariborz Raisdana,eswiki,Human
Q35281,233008,Fasnacht,eswiki,Others
Q5946269,9320722,Fatemeh Rahbar,eswiki,Human
Q262203,970309,Fatih Terim,eswiki,Human
Q777319,6062245,Felipe Nasr,eswiki,Human
Q983324,4987720,Ferdinand Marcos Jr.,eswiki,Human
Q89514702,9372827,Feriha Öz,eswiki,Human
Q3069409,7329839,Fernanda Paes Leme,eswiki,Human
Q16889614,6575944,Fernando Gaviria,eswiki,Human
Q839107,309754,Fernando Martín Álvarez,eswiki,Human
Q24941815,7395329,Fernando Simón,eswiki,Human
Q17302076,8380987,Festival de Cap Roig,eswiki,Others
Q5861248,4786197,"Festival Internacional de Música ""Castell de Peralada""",eswiki,Others
Q90465882,9372815,Fevzi Aksoy,eswiki,Human
Q89412554,9358737,Florindo Corral,eswiki,Human
Q88553411,9345850,Floyd Cardoz,eswiki,Human
Q17305299,7003302,Frances Tiafoe,eswiki,Human
Q3749916,9378285,Francesco Di Carlo,eswiki,Human
Q29727768,9395621,Francesco Perrone,eswiki,Human
Q87830378,9336980,Francesco Saverio Pavone,eswiki,Human
Q1441576,9351145,Francis Rapp,eswiki,Human
Q5865148,5423284,Francisco Aritmendi,eswiki,Human
Q3081861,981637,Francisco Hernando Contreras,eswiki,Human
Q64463,9323462,Franck Riester,eswiki,Human
Q55020621,9361147,François de Gaulle,eswiki,Human
Q91756690,9390595,Fred the Godson,eswiki,Human
